user_id,posted,item_id,recommend,review
76561197970982479,2011-11-05,1250,1,2
76561197970982479,2011-07-15,22200,1,2
76561197970982479,2011-04-21,43110,1,2
js41637,2014-06-24,251610,1,2
js41637,2013-09-08,227300,1,2
js41637,2013-11-29,239030,1,2
evcentric,2016-02-03,248820,1,2
evcentric,2015-12-04,370360,1,2
evcentric,2014-11-03,237930,1,2
evcentric,2014-10-15,263360,1,2
evcentric,2014-10-15,107200,1,2
evcentric,2014-10-15,224500,1,2
doctr,2013-10-14,250320,1,2
doctr,2012-07-28,20920,1,2
doctr,2012-06-02,204100,1,2
doctr,2014-06-29,224600,1,2
doctr,2012-11-22,207610,1,2
doctr,2012-02-23,108710,1,2
maplemage,2014-04-15,211420,1,2
maplemage,2013-12-23,211820,1,2
maplemage,2014-03-14,730,1,2
maplemage,2013-07-11,204300,1,2
Wackky,2014-05-05,249130,1,2
Wackky,2012-12-24,207610,1,2
Wackky,2012-10-21,550,1,2
Wackky,2012-03-20,65800,1,2
Wackky,2012-03-09,220,1,2
76561198079601835,2016-05-20,730,1,2
MeaTCompany,2016-07-24,730,1,2
76561198089393905,2015-02-01,72850,1,1
76561198089393905,2014-06-20,440,1,2
76561198156664158,2016-06-16,252950,1,2
76561198077246154,2016-06-11,440,1,2
76561198077246154,2014-08-25,304930,1,2
WeiEDKrSat,2013-12-25,4000,1,2
thequeenpanda,2012-06-23,42910,1,2
death-hunter,2015-09-05,232090,1,2
death-hunter,2015-03-30,1250,1,2
death-hunter,2014-02-19,4000,1,2
DJKamBer,2014-07-14,304930,1,2
DJKamBer,2013-04-27,570,1,2
DJKamBer,2015-07-20,218620,1,2
DJKamBer,2013-11-04,224260,1,2
DJKamBer,2013-07-12,1250,1,1
DJKamBer,2012-08-19,440,1,2
Rainbow-Dashie,2015-06-19,730,1,2
Rainbow-Dashie,2014-09-20,440,1,2
Rainbow-Dashie,2014-09-07,49520,1,2
76561198043472122,2014-12-19,33440,0,0
MarbleShrine,2015-02-17,220200,1,2
PPanther,2014-06-07,211820,1,2
devvonst,2014-02-12,440,1,2
devvonst,2014-02-09,218740,1,2
devvonst,2015-10-31,550,1,2
Fr0stedLine,2016-02-27,220,1,2
starkillershadow553,2015-02-04,238090,1,2
starkillershadow553,2016-08-23,242130,1,1
starkillershadow553,2014-04-05,277430,1,2
76561198058373434,2015-01-08,8870,1,2
76561198048353577,2015-10-26,368230,1,2
76561198048353577,2016-05-16,4000,1,2
76561198048353577,2013-03-20,33930,1,2
76561198066046412,2015-12-28,359320,0,1
76561198066046412,2015-05-19,219640,1,2
tru_mu_,2015-12-15,287980,1,2
76561198070565427,2016-03-31,218620,1,2
76561198070565427,2015-08-21,208090,1,2
76561198070565427,2014-10-17,242700,1,2
76561198070565427,2014-06-27,570,0,0
76561198070565427,2014-04-28,224260,1,2
SavageEeEe,2015-11-12,221100,1,2
76561198076909484,2014-06-18,570,1,2
KanadeTheNeko,2014-11-20,331470,1,2
KanadeTheNeko,2014-05-29,4000,1,2
Leaf_Light_Moscow,2016-07-09,323370,1,2
GoAwayZach,2014-12-29,304930,1,2
76561198054540475,2015-02-13,12210,1,1
76561198054540475,2014-12-26,265210,1,2
76561198054540475,2014-02-04,48700,1,2
76561198085547365,2016-06-16,238460,1,2
76561198085547365,2016-06-16,34900,1,2
76561198061252210,2015-05-21,730,1,2
OfficialShroomsy,2013-12-06,113200,1,2
boydeer,2014-05-12,440,1,2
boydeer,2015-08-24,383080,0,0
VVillis,2015-01-06,213670,1,2
76561198083226897,2015-12-22,105600,1,2
76561198075277292,2015-06-23,730,1,1
76561198075277292,2015-09-11,570,1,2
76561198028895010,2013-04-22,231180,1,2
76561198028895010,2012-05-27,620,1,2
76561198170198366,2016-01-18,271290,1,2
diego9031,2016-07-30,4000,1,2
diego9031,2016-07-28,317360,1,2
diego9031,2015-12-05,223710,1,2
diego9031,2015-10-04,299360,1,2
diego9031,2015-10-03,322330,1,2
diego9031,2015-08-13,1250,1,2
diego9031,2015-02-22,12100,1,2
diego9031,2015-01-14,204360,1,2
diego9031,2013-12-14,440,1,2
diego9031,2013-12-01,224260,1,2
jarrodtrim,2012-02-11,440,1,2
76561198078738103,2016-02-20,304930,1,2
76561198067936203,2015-03-12,440,1,2
76561198079770573,2015-10-14,1840,1,2
76561198087586464,2013-10-27,440,1,2
Derp-e,2015-11-27,440,1,2
